Community Name,Assault (Non-domestic),Break & Enter - Commercial,Break & Enter - Dwelling,Break & Enter - Other Premises,Commercial Robbery,Street Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic)
01B,0.0,9.0,1.0,0.0,0.0,0.0,8.0,4.0,1.0
01C,1.0,9.0,0.0,2.0,0.0,0.0,13.0,9.0,2.0
01D,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
01F,1.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0
01H,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0
01K,8.0,3.0,0.0,0.0,0.0,1.0,11.0,9.0,0.0
02A,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0
02B,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
02C,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
02E,282.0,3.0,1.0,0.0,1.0,0.0,8.0,2.0,47.0
02F,2.0,10.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0
02K,1.0,14.0,0.0,1.0,0.0,0.0,15.0,11.0,2.0
02L,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0
03H,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
03I,0.0,6.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0
03S,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
03V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03W,0.0,8.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0
05B,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
05C,0.0,14.0,0.0,1.0,0.0,0.0,4.0,7.0,0.0
05D,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
05E,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
06A,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
09H,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
09K,0.0,18.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0
